"edge_id","source_id","target_id","edge_weight","edge_type","strength","created_dt"
14417,7007,7454,0.800,owns,strong,2024-03-16
4690,2070,2140,0.680,transfers_to,medium,2023-10-17
20922,10537,6320,0.690,launders_via,medium,2023-04-29
8850,4299,4458,0.610,recruited,medium,2023-10-02
14886,7253,7453,0.890,transfers_to,strong,2023-08-21
2141,1092,1218,0.770,owns,strong,2023-11-22
15824,7723,7938,0.640,recruited,medium,2023-11-14
17435,8577,8681,0.410,recruited,medium,2023-11-02
12337,6006,6266,0.430,recruited,medium,2023-01-10
19311,9418,9755,0.580,employs,medium,2023-12-02
13275,6651,6387,0.730,transfers_to,strong,2024-03-12
6301,3241,3025,0.390,transfers_to,weak,2024-05-15
1203,485,676,0.610,transfers_to,medium,2023-07-04
2610,1074,1683,0.550,uses,medium,2023-12-26
7708,3749,4206,0.860,controls,strong,2023-10-04
734,335,735,0.820,controls,strong,2023-12-12
18373,9020,8988,0.420,transfers_to,medium,2023-09-03
16762,8061,8362,0.740,transfers_to,strong,2023-04-03
10726,5300,5495,0.840,owns,strong,2024-05-20
15355,6915,7544,0.580,launders_to,medium,2023-05-31
12806,6328,6735,0.730,controls,strong,2024-04-11
61,20,62,0.400,recruited,medium,2023-07-21
13744,6282,6081,0.410,introduced,medium,2023-07-15
4221,1981,2367,0.830,owns,strong,2024-03-27
16293,8033,8407,0.680,controls,medium,2024-02-08
14213,7075,7250,0.860,owns,strong,2023-01-15
11195,5321,5963,0.620,uses,medium,2023-09-11
1672,777,416,0.790,transfers_to,strong,2024-01-29
5159,1739,1890,0.590,introduced,medium,2023-04-24
17231,7714,7950,0.320,introduced,weak,2023-09-20
8646,3486,3934,0.650,co_owns,medium,2023-09-30
10257,5076,4803,0.650,transfers_to,medium,2023-09-09
5628,2877,2985,0.700,owns,strong,2023-06-13
14682,6951,7688,0.500,uses,medium,2023-02-23
6097,2618,3412,0.490,uses,medium,2023-08-26
18842,9319,9356,0.710,transfers_to,strong,2023-05-12
19780,9748,10224,0.850,controls,strong,2023-03-05
12133,6007,6062,0.610,recruited,medium,2023-05-04
530,88,531,0.940,owns,strong,2023-07-17
8177,4055,3965,0.340,transfers_to,weak,2024-01-14
3079,1444,1343,0.650,transfers_to,medium,2023-06-19
15151,7432,7444,0.690,transfers_to,medium,2023-03-05
6566,3099,3243,0.400,transfers_to,medium,2023-08-18
11664,5611,5500,0.860,transfers_to,strong,2023-12-09
9115,4349,4723,0.850,owns,strong,2023-11-30
9584,4473,5132,0.480,uses,medium,2023-06-20
20718,10356,4400,0.480,victim_of,medium,2024-04-20
20249,10035,9821,0.650,transfers_to,medium,2023-01-23
3548,1144,1256,0.730,co_owns,strong,2024-05-09
10053,4863,4895,0.890,transfers_to,strong,2023-10-25
4017,1971,2163,0.700,owns,strong,2023-04-03
17700,8885,8946,0.900,owns,strong,2023-06-13
12602,6129,6531,0.810,owns,strong,2023-08-24
7504,3484,4002,0.870,owns,strong,2023-04-25
18169,8676,9395,0.410,uses,medium,2024-01-04
999,659,389,0.790,transfers_to,strong,2023-04-19
1937,872,1014,0.460,recruited,medium,2023-09-09
4955,1859,2429,0.710,launders_to,strong,2023-08-11
1468,444,639,0.420,transfers_to,medium,2023-06-29
7035,3436,3533,0.410,recruited,medium,2024-02-05
10522,5162,5291,0.500,recruited,medium,2024-02-01
7973,3905,4025,0.540,transfers_to,medium,2024-05-03
4486,1882,2566,0.510,uses,medium,2023-08-03
15620,7721,7734,0.670,recruited,medium,2023-11-04
16558,8237,8350,0.840,transfers_to,strong,2024-05-18
2875,1383,1375,0.830,transfers_to,strong,2023-07-07
18638,9232,8928,0.730,transfers_to,strong,2024-01-19
13071,6432,6417,0.400,transfers_to,medium,2023-08-12
10991,5358,5760,0.850,owns,strong,2024-03-28
326,1,327,0.640,controls,medium,2023-05-19
16089,7873,8203,0.850,owns,strong,2024-01-21
2406,1062,1483,0.740,owns,strong,2024-02-16
5424,2594,2781,0.400,recruited,medium,2023-10-06
17496,8582,8742,0.510,recruited,medium,2024-02-01
19107,9438,9551,0.640,recruited,medium,2023-04-11
19576,9530,10020,0.780,owns,strong,2023-10-20
17027,8335,8172,0.590,transfers_to,medium,2023-11-14
795,316,796,0.690,controls,medium,2023-03-29
13540,6587,6599,0.630,transfers_to,medium,2023-04-14
8442,3676,4109,0.710,launders_to,strong,2023-09-21
20045,9970,10016,0.810,transfers_to,strong,2023-06-29
20983,10598,5347,0.360,introduced,weak,2023-01-19
14009,6858,7046,0.560,recruited,medium,2024-05-31
5893,2877,3250,0.820,controls,strong,2023-12-27
14478,7016,7515,0.850,owns,strong,2023-04-21
15416,7124,7532,0.660,launders_to,medium,2023-10-28
11460,5546,5625,0.360,transfers_to,weak,2023-01-01
6362,2929,3096,0.850,transfers_to,strong,2024-06-01
3344,1087,1568,0.670,launders_to,medium,2023-04-03
10318,4539,4454,0.470,introduced,medium,2023-08-25
8911,4299,4519,0.660,recruited,medium,2023-07-13
20514,10172,10230,0.690,transfers_to,medium,2023-11-11
14947,7411,7206,0.560,transfers_to,medium,2024-01-25
18903,8847,8706,0.380,introduced,weak,2023-07-06
11929,5860,5925,0.540,transfers_to,medium,2024-04-27
3813,1724,1959,0.680,recruited,medium,2023-11-21
9380,4588,4988,0.780,controls,strong,2024-01-11
16354,8023,8468,0.800,controls,strong,2023-09-29
6831,2625,2727,0.470,introduced,medium,2024-02-29
12398,5993,6327,0.810,controls,strong,2023-11-28
17965,8765,9211,0.720,owns,strong,2023-10-29
8238,3913,3912,0.840,transfers_to,strong,2024-04-11
4282,2026,2428,0.770,controls,strong,2024-03-26
1264,425,522,0.880,transfers_to,strong,2024-02-12
9849,4832,4738,0.860,transfers_to,strong,2024-02-08
5689,2666,3046,0.710,owns,strong,2023-05-24
1733,38,7,0.420,introduced,medium,2024-03-08
18434,9139,9205,0.370,transfers_to,weak,2023-06-23
12867,6314,6796,0.820,controls,strong,2023-09-02
14274,6968,7311,0.720,owns,strong,2024-04-07
4751,2384,2383,0.400,transfers_to,medium,2024-02-12
15885,7729,7999,0.570,recruited,medium,2023-06-25
7300,3563,3798,0.750,owns,strong,2024-03-30
11725,5670,5698,0.880,transfers_to,strong,2023-01-11
2202,1096,1279,0.750,owns,strong,2024-05-28
13336,6546,6419,0.900,transfers_to,strong,2023-07-12
7769,3573,4256,0.640,uses,medium,2024-01-21
6158,3181,2942,0.550,transfers_to,medium,2023-05-15
19372,9462,9816,0.730,owns,strong,2023-07-30
5220,2571,2577,0.630,recruited,medium,2023-08-20
10787,5364,5556,0.840,owns,strong,2023-10-13
9176,4484,4784,0.750,owns,strong,2024-05-23
2671,987,1699,0.450,uses,medium,2023-10-26
13805,6266,6398,0.740,co_owns,strong,2024-05-10
16823,8351,8330,0.450,transfers_to,medium,2024-02-11
1060,654,464,0.750,transfers_to,strong,2023-08-19
20310,9986,10029,0.530,transfers_to,medium,2024-03-24
11256,5428,5980,0.570,uses,medium,2023-02-05
122,12,123,0.700,recruited,strong,2024-03-22
9645,4662,4663,0.810,transfers_to,strong,2023-08-30
12194,6003,6123,0.650,recruited,medium,2023-11-19
19841,9516,10257,0.580,uses,medium,2023-12-04
17292,7799,8244,0.660,co_owns,medium,2023-08-31
7096,3448,3594,0.680,recruited,medium,2023-07-26
18230,8832,9415,0.480,uses,medium,2023-05-13
8707,4302,4315,0.590,recruited,medium,2023-06-15
591,72,592,0.740,owns,strong,2023-04-03
4547,2293,2261,0.810,transfers_to,strong,2023-09-27
15681,7718,7795,0.550,recruited,medium,2023-11-24
3140,1509,1378,0.330,transfers_to,weak,2024-02-10
14743,7508,7419,0.780,transfers_to,strong,2023-04-09
19168,9430,9612,0.510,recruited,medium,2023-03-22
10114,4511,4987,0.730,launders_to,strong,2024-04-28
17761,8788,9007,0.750,owns,strong,2024-03-09
3609,1724,1755,0.450,recruited,medium,2023-01-25
2467,1169,1544,0.800,controls,strong,2023-04-12
13132,6628,6407,0.670,transfers_to,medium,2024-01-29
6627,3073,3113,0.370,transfers_to,weak,2023-08-25
20779,10417,2634,0.230,victim_of,weak,2023-05-30
16619,8122,8084,0.500,transfers_to,medium,2024-04-15
5016,1808,2422,0.670,launders_to,medium,2024-01-30
4078,1818,2224,0.880,owns,strong,2023-09-22
15212,7386,7290,0.550,transfers_to,medium,2024-05-18
19637,9534,10081,0.710,owns,strong,2023-07-06
13601,6200,6749,0.560,launders_to,medium,2023-08-06
12663,6265,6592,0.820,owns,strong,2023-08-07
1529,301,714,0.680,launders_to,medium,2023-12-02
17088,7865,8396,0.570,launders_to,medium,2023-11-29
11052,5462,5821,0.670,controls,medium,2024-05-13
18699,8974,8988,0.740,transfers_to,strong,2024-05-18
7565,3609,4063,0.880,owns,strong,2024-04-30
14539,7162,7576,0.780,controls,strong,2023-09-23
8503,3666,4191,0.490,launders_to,medium,2023-11-30
1998,879,1075,0.630,recruited,medium,2024-05-10
8034,3969,4089,0.870,transfers_to,strong,2024-03-18
17557,8579,8803,0.600,recruited,medium,2023-06-20
2936,1326,1322,0.430,transfers_to,medium,2023-04-10
16150,7778,8264,0.860,owns,strong,2023-11-10
5485,2588,2842,0.420,recruited,medium,2023-05-16
11990,5172,5343,0.570,introduced,medium,2023-03-31
8972,4290,4580,0.460,recruited,medium,2024-03-27
10583,5160,5352,0.490,recruited,medium,2023-10-06
5954,2894,3311,0.800,controls,strong,2023-01-31
12459,6245,6388,0.810,owns,strong,2023-04-16
6423,2989,3036,0.610,transfers_to,medium,2023-06-01
14070,6866,7107,0.690,recruited,medium,2023-01-30
387,251,388,0.900,owns,strong,2024-02-23
9910,4711,4941,0.700,transfers_to,strong,2024-03-13
20575,9552,9547,0.430,introduced,medium,2023-06-10
11521,5754,5611,0.770,transfers_to,strong,2023-02-22
856,192,836,0.650,uses,medium,2023-07-18
7361,3662,3859,0.930,owns,strong,2023-06-08
3874,1713,2020,0.600,controls,medium,2023-02-17
20106,10018,10035,0.560,transfers_to,medium,2023-02-28
15008,7489,7387,0.510,transfers_to,medium,2023-12-20
10379,5138,5148,0.670,recruited,medium,2024-01-02
18495,9113,9047,0.820,transfers_to,strong,2024-01-29
3405,1554,1671,0.700,transfers_to,strong,2024-05-31
15477,7674,7306,0.730,transfers_to,strong,2024-05-09
5281,2575,2638,0.690,recruited,medium,2023-09-03
1794,858,871,0.690,recruited,medium,2023-05-17
9441,4600,5049,0.770,controls,strong,2024-05-10
12928,6007,6829,0.680,uses,medium,2023-06-08
2732,1448,1483,0.780,transfers_to,strong,2024-02-09
15946,7709,8060,0.750,employs,strong,2023-02-21
18026,8889,9272,0.770,controls,strong,2023-01-06
18964,8760,8928,0.720,co_owns,strong,2023-09-18
183,10,184,0.520,recruited,medium,2024-03-09
16415,7707,8529,0.740,controls,strong,2023-02-24
6892,2664,3128,0.610,co_owns,medium,2023-04-17
13397,6401,6524,0.450,transfers_to,medium,2023-09-15
19902,9933,9779,0.460,transfers_to,medium,2024-05-14
13866,6872,6903,0.520,recruited,medium,2023-04-12
1325,559,511,0.350,transfers_to,weak,2023-05-19
7830,3698,4271,0.540,uses,medium,2023-03-26
3201,1388,1484,0.660,transfers_to,medium,2024-01-14
11317,5758,5614,0.780,transfers_to,strong,2023-04-03
4343,2036,2489,0.860,controls,strong,2023-02-14
19433,9559,9877,0.880,owns,strong,2024-05-19
17353,8580,8599,0.450,recruited,medium,2023-04-17
14335,7082,7372,0.900,owns,strong,2024-03-23
4812,2301,2241,0.760,transfers_to,strong,2023-09-09
16884,8197,8355,0.350,transfers_to,weak,2023-09-13
652,105,653,0.710,owns,strong,2023-03-17
9237,4548,4845,0.700,owns,strong,2024-03-14
2263,1189,1340,0.760,owns,strong,2023-11-29
5750,2828,3107,0.760,owns,strong,2023-10-05
17822,8840,9068,0.860,owns,strong,2024-05-30
6688,2798,3318,0.600,launders_to,medium,2023-05-04
10848,5214,5617,0.940,owns,strong,2023-07-19
11786,5535,5589,0.690,transfers_to,medium,2023-05-09
1121,405,663,0.750,transfers_to,strong,2023-11-27
4139,2017,2285,0.910,owns,strong,2024-02-18
8299,3972,3985,0.640,transfers_to,medium,2023-04-19
6219,2953,3166,0.490,transfers_to,medium,2023-03-15
12724,6247,6653,0.770,owns,strong,2023-05-08
7157,3432,3655,0.500,recruited,medium,2024-04-21
8768,4291,4376,0.620,recruited,medium,2023-05-16
20371,9978,9892,0.770,transfers_to,strong,2023-06-10
10175,4578,5017,0.410,launders_to,medium,2024-02-13
4608,2205,2318,0.760,transfers_to,strong,2024-02-04
14804,7323,7448,0.800,transfers_to,strong,2023-04-06
12255,6014,6184,0.480,recruited,medium,2023-09-20
18760,8818,9327,0.690,launders_to,medium,2024-01-12
2059,878,1136,0.550,recruited,medium,2023-12-25
3670,1738,1816,0.510,recruited,medium,2024-04-09
15273,7285,7471,0.550,transfers_to,medium,2023-10-26
10644,5145,5413,0.650,recruited,medium,2023-07-11
5077,2443,2525,0.570,transfers_to,medium,2024-03-17
20840,10478,1154,0.390,victim_of,weak,2023-04-05
9706,4781,4718,0.800,transfers_to,strong,2023-07-28
8095,3953,3913,0.830,transfers_to,strong,2023-06-13
16680,8369,8242,0.800,transfers_to,strong,2023-12-03
18291,9206,9179,0.330,transfers_to,weak,2024-02-26
13193,6401,6598,0.860,transfers_to,strong,2023-01-23
5546,2569,2903,0.780,controls,strong,2023-10-02
14600,7180,7637,0.820,controls,strong,2024-03-29
1590,75,727,0.640,launders_to,medium,2023-02-14
19229,9428,9673,0.540,recruited,medium,2024-04-07
14131,6849,7168,0.830,controls,strong,2024-04-19
12051,5332,5747,0.710,co_owns,strong,2023-02-19
15742,7713,7856,0.550,recruited,medium,2023-08-22
2528,1190,1605,0.760,controls,strong,2023-12-05
8564,4212,3841,0.740,transfers_to,strong,2023-02-03
9502,4483,5107,0.450,uses,medium,2023-10-08
7626,3755,4124,0.680,controls,medium,2023-01-11
19698,9730,10142,0.640,controls,medium,2023-04-21
2997,1508,1405,0.740,transfers_to,strong,2023-02-10
18087,8883,9333,0.670,controls,medium,2024-03-07
16211,7747,8325,0.890,owns,strong,2023-02-23
17149,8474,8529,0.570,transfers_to,medium,2023-06-01
11582,5601,5621,0.880,transfers_to,strong,2024-04-07
12520,6135,6449,0.730,owns,strong,2023-07-26
13662,6704,6802,0.640,transfers_to,medium,2023-10-28
6015,2570,3372,0.750,controls,strong,2023-01-20
3466,1664,1216,0.610,transfers_to,medium,2023-11-05
15538,7054,7120,0.540,introduced,medium,2024-05-30
11113,5465,5882,0.750,controls,strong,2024-04-09
448,268,449,0.700,owns,strong,2023-08-09
917,306,854,0.650,uses,medium,2023-06-07
7422,3585,3920,0.840,owns,strong,2023-07-17
20167,10066,9844,0.830,transfers_to,strong,2023-10-07
17618,8569,8864,0.630,recruited,medium,2023-03-23
6953,3448,3451,0.580,recruited,medium,2023-11-21
4873,2107,2178,0.800,transfers_to,strong,2023-07-15
9033,4417,4641,0.700,owns,strong,2023-07-13
20636,10274,895,0.490,victim_of,medium,2024-01-16
1386,586,509,0.640,transfers_to,medium,2023-01-06
13458,6418,6368,0.310,transfers_to,weak,2023-10-19
6484,3200,3018,0.800,transfers_to,strong,2023-05-30
3935,1896,2081,0.790,owns,strong,2023-09-07
16007,7994,8121,0.860,owns,strong,2024-05-14
2324,1001,1401,0.780,owns,strong,2024-04-28
15069,7342,7220,0.600,transfers_to,medium,2023-05-11
9971,4666,4748,0.760,transfers_to,strong,2023-12-15
19025,9424,9469,0.460,recruited,medium,2023-06-11
10909,5235,5678,0.930,owns,strong,2023-02-23
4404,1908,2543,0.500,uses,medium,2024-01-03
10440,5161,5209,0.580,recruited,medium,2023-05-07
19494,9735,9938,0.840,owns,strong,2023-01-23
5342,2584,2699,0.670,recruited,medium,2023-09-27
18556,9112,9180,0.850,transfers_to,strong,2023-02-23
7891,3885,3916,0.630,transfers_to,medium,2023-04-14
16945,8314,8319,0.540,transfers_to,medium,2024-05-12
244,17,245,0.480,recruited,medium,2024-01-12
12989,6024,6848,0.440,uses,medium,2023-05-07
8360,4098,4082,0.670,transfers_to,medium,2023-07-19
19963,9795,9782,0.830,transfers_to,strong,2024-04-21
6280,3146,3176,0.810,transfers_to,strong,2023-07-16
1855,866,932,0.690,recruited,medium,2023-10-16
2793,1233,1527,0.300,transfers_to,weak,2023-07-16
14396,7037,7433,0.750,owns,strong,2024-03-14
20901,10529,8014,0.510,launders_via,medium,2023-12-04
16476,7982,8549,0.470,uses,medium,2024-04-21
11378,5523,5573,0.830,transfers_to,strong,2023-01-10
8829,4293,4437,0.420,recruited,medium,2023-12-26
18352,9034,9043,0.610,transfers_to,medium,2024-04-30
13927,6861,6964,0.670,recruited,medium,2023-04-23
3262,1438,1274,0.690,transfers_to,medium,2023-06-29
14865,7288,7330,0.390,transfers_to,weak,2024-02-23
18821,9239,9363,0.530,transfers_to,medium,2023-07-05
5811,2800,3168,0.810,owns,strong,2024-04-18
17414,8582,8660,0.580,recruited,medium,2023-05-19
12316,6001,6245,0.590,recruited,medium,2024-05-18
16272,8019,8386,0.680,controls,medium,2024-01-24
11847,5255,5892,0.530,launders_to,medium,2023-04-28
713,335,714,0.740,controls,strong,2023-09-07
9767,4915,4641,0.530,transfers_to,medium,2023-01-04
13723,6100,6094,0.570,introduced,medium,2024-04-21
20432,9585,10190,0.590,launders_to,medium,2023-04-03
17883,8769,9129,0.750,owns,strong,2023-04-19
12785,6314,6714,0.690,controls,medium,2024-03-07
16741,8358,8308,0.740,transfers_to,strong,2023-03-17
9298,4506,4906,0.750,owns,strong,2023-07-16
1182,521,388,0.320,transfers_to,weak,2023-02-16
1651,727,801,0.550,transfers_to,medium,2024-03-27
11643,5785,5680,0.660,transfers_to,medium,2023-02-19
3731,1721,1877,0.420,recruited,medium,2023-12-17
15334,6878,7614,0.450,launders_to,medium,2024-03-01
7687,3758,4185,0.720,controls,strong,2023-08-15
9094,4562,4702,0.750,owns,strong,2023-02-06
6749,2600,3287,0.660,launders_to,medium,2023-09-15
4200,1825,2346,0.750,owns,strong,2023-09-15
5138,1870,1790,0.530,introduced,medium,2024-04-30
3527,873,879,0.430,introduced,medium,2023-06-08
7218,3431,3716,0.440,recruited,medium,2023-09-14
15803,7729,7917,0.500,recruited,medium,2023-01-06
2589,1190,1666,0.810,controls,strong,2023-10-15
6545,3219,3042,0.760,transfers_to,strong,2023-08-25
4669,2099,2109,0.490,transfers_to,medium,2024-05-07
10236,5030,5069,0.630,transfers_to,medium,2023-06-29
5607,2788,2964,0.730,owns,strong,2023-06-14
9563,4466,5125,0.630,uses,medium,2023-01-03
13254,6424,6569,0.400,transfers_to,medium,2023-08-21
10705,5138,5474,0.570,employs,medium,2023-12-20
19759,9750,10203,0.790,controls,strong,2023-03-19
7014,3450,3512,0.460,recruited,medium,2023-12-28
2120,861,1197,0.630,employs,medium,2023-11-18
19290,9417,9734,0.840,controls,strong,2023-10-18
3058,1435,1236,0.610,transfers_to,medium,2023-04-09
4465,1778,2559,0.500,uses,medium,2023-03-01
11174,5455,5943,0.870,controls,strong,2023-08-28
8156,3841,3809,0.890,transfers_to,strong,2023-01-05
17210,8486,8313,0.810,transfers_to,strong,2023-09-22
1916,864,993,0.470,recruited,medium,2023-07-12
40,25,41,0.580,recruited,medium,2023-03-25
14192,6920,7229,0.760,owns,strong,2024-05-01
509,148,510,0.860,owns,strong,2023-04-01
19086,9442,9530,0.460,recruited,medium,2023-06-28
6076,2749,3407,0.520,uses,medium,2023-01-24
8625,3466,3567,0.420,introduced,medium,2023-12-14
20228,9831,9871,0.440,transfers_to,medium,2024-04-11
2385,1050,1462,0.840,owns,strong,2023-02-05
14661,7006,7682,0.610,uses,medium,2024-02-04
17679,8824,8925,0.920,owns,strong,2023-12-18
15130,7395,7288,0.450,transfers_to,medium,2023-07-07
16537,8341,8068,0.520,transfers_to,medium,2024-05-04
20697,10335,8756,0.220,victim_of,weak,2023-01-04
12112,6016,6041,0.560,recruited,medium,2023-06-17
12581,6230,6510,0.720,owns,strong,2023-09-23
13988,6865,7025,0.560,recruited,medium,2024-01-14
3996,2039,2142,0.940,owns,strong,2023-01-18
978,376,556,0.460,transfers_to,medium,2023-12-04
10032,4838,4720,0.810,transfers_to,strong,2024-05-06
17006,8222,8379,0.450,transfers_to,medium,2023-05-26
18148,8694,9389,0.570,uses,medium,2024-03-10
1447,380,439,0.740,transfers_to,strong,2023-03-13
13050,6560,6646,0.510,transfers_to,medium,2023-05-25
305,8,306,0.700,recruited,strong,2024-02-11
18617,9118,9038,0.440,transfers_to,medium,2024-01-10
15599,7707,7713,0.730,recruited,strong,2023-06-05
10501,5147,5270,0.650,recruited,medium,2024-04-05
14457,7181,7494,0.860,owns,strong,2023-12-08
7483,3461,3981,0.780,owns,strong,2023-12-26
4934,2283,2073,0.320,transfers_to,weak,2023-02-03
7952,4005,3817,0.770,transfers_to,strong,2023-09-20
11908,5814,5960,0.780,transfers_to,strong,2024-04-14
16068,7861,8182,0.820,owns,strong,2023-07-04
19555,9467,9999,0.830,owns,strong,2023-01-22
10970,5383,5739,0.760,owns,strong,2023-05-31
14926,7397,7281,0.620,transfers_to,medium,2024-05-29
13519,6600,6379,0.740,transfers_to,strong,2023-09-18
8421,3535,4170,0.610,launders_to,medium,2024-05-17
5403,2586,2760,0.680,recruited,medium,2024-04-24
9359,4595,4967,0.610,controls,medium,2023-06-15
2854,1228,1387,0.810,transfers_to,strong,2024-03-18
20024,9848,9991,0.780,transfers_to,strong,2023-07-10
5872,2674,3229,0.770,owns,strong,2023-12-21
17944,8844,9190,0.890,owns,strong,2023-09-08
11439,5507,5574,0.530,transfers_to,medium,2023-12-18
6341,2952,3219,0.470,transfers_to,medium,2023-03-13
3323,991,1536,0.490,launders_to,medium,2023-03-18
9828,4946,4713,0.700,transfers_to,strong,2023-08-15
8890,4287,4498,0.690,recruited,medium,2023-03-01
12377,5993,6306,0.820,controls,strong,2023-05-28
774,318,775,0.810,controls,strong,2023-09-30
7279,3427,3777,0.680,employs,medium,2024-02-12
17475,8568,8721,0.550,recruited,medium,2023-08-19
6810,3374,2929,0.640,transfers_to,medium,2023-02-25
20493,10160,10232,0.510,transfers_to,medium,2023-10-10
4730,2301,2216,0.740,transfers_to,strong,2023-05-12
20962,10555,947,0.280,introduced,weak,2023-11-30
1243,584,426,0.300,transfers_to,weak,2023-07-24
3792,1727,1938,0.600,recruited,medium,2024-04-18
7748,3754,4246,0.860,controls,strong,2023-12-11
15395,6977,7610,0.470,launders_to,medium,2023-04-02
12846,6303,6775,0.700,controls,strong,2024-02-27
18413,9196,8994,0.600,transfers_to,medium,2024-04-09
2650,866,1693,0.540,uses,medium,2023-03-16
4261,2027,2407,0.760,controls,strong,2023-09-09
15864,7727,7978,0.580,recruited,medium,2023-11-24
13315,6537,6499,0.740,transfers_to,strong,2024-01-29
101,16,102,0.600,recruited,medium,2024-01-13
1712,139,158,0.500,introduced,medium,2023-05-07
10297,4365,4505,0.390,introduced,weak,2023-03-12
19351,9513,9795,0.940,owns,strong,2023-09-08
570,100,571,0.890,owns,strong,2024-05-14
18882,8643,8653,0.340,introduced,weak,2023-07-29
10766,5188,5535,0.770,owns,strong,2023-01-14
16802,8267,8061,0.740,transfers_to,strong,2023-07-24
20758,10396,3579,0.210,victim_of,weak,2023-07-18
2181,922,1258,0.770,owns,strong,2023-09-27
5199,1800,2284,0.740,co_owns,strong,2023-09-05
11235,5202,5974,0.650,uses,medium,2024-05-07
15191,7213,7291,0.760,transfers_to,strong,2024-03-19
16333,8038,8447,0.820,controls,strong,2024-05-03
13784,6133,6485,0.620,co_owns,medium,2023-04-02
17271,7949,7896,0.480,introduced,medium,2023-11-20
18678,9056,9128,0.340,transfers_to,weak,2024-01-04
8217,3884,3992,0.600,transfers_to,medium,2024-01-01
5668,2703,3025,0.930,owns,strong,2023-02-26
6137,3176,2972,0.400,transfers_to,medium,2023-05-01
16129,8033,8243,0.860,owns,strong,2023-06-08
14253,6986,7290,0.800,owns,strong,2023-05-05
19820,9609,10250,0.670,uses,medium,2024-03-08
14722,6983,7698,0.610,uses,medium,2023-07-07
8013,3835,3996,0.900,transfers_to,strong,2023-03-08
11704,5736,5716,0.330,transfers_to,weak,2023-11-01
8686,4283,4294,0.770,recruited,strong,2023-07-10
12173,6007,6102,0.690,recruited,medium,2023-04-06
14049,6874,7086,0.690,recruited,medium,2023-11-23
9155,4350,4763,0.760,owns,strong,2023-08-18
3119,1325,1356,0.460,transfers_to,medium,2024-05-22
4057,1820,2203,0.790,owns,strong,2023-02-07
